Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
bird,Bird S590,https://cdn2.gsmarena.com/vv/bigpic/bis590.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, Q1",Discontinued,107 x 44 x 20 mm (4.21 x 1.73 x 0.79 in),75 g (2.65 oz),Mini-SIM,No,"STN, 65K colors",,128 x 160 pixels,,,,No,,CIF,No,,,No,No,No,No,No,No,,,Calculator,Up to 5 h,Silver,,,,,,,Removable Li-Ion battery,,Up to 140 h,,,,,,,,,,,,,WAP 1.2.1,,,,,200 entries,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,No,Vibration; Downloadable polyphonic ringtones,,,,,
bird,Bird S580,https://cdn2.gsmarena.com/vv/bigpic/bird-s580.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2005, Q1",Discontinued,107 x 44 x 20 mm (4.21 x 1.73 x 0.79 in),75 g (2.65 oz),Mini-SIM,"Screensavers, wallpapers","STN, 65K colors",,128 x 160 pixels,,,,No,,CIF,No,,,No,No,No,No,No,No,,,No,Up to  3 h,"Orange, Silver",,,,,,,Removable Li-Ion battery,,Up to 100 h,,,,,,,,,,,,,WAP 1.2.1,,,,,200 entries,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,No,Vibration; Downloadable polyphonic ringtones,,,,,
bird,Bird A150,https://cdn2.gsmarena.com/vv/bigpic/bia150.gif,GSM,GSM 900 / 1800,Class 4,No,"2004, Q2",Discontinued,83.5 x 42 x 19 mm (3.29 x 1.65 x 0.75 in),85 g (3.00 oz),Mini-SIM,Second external mono display,"TFT, 65K colors",,128 x 160 pixels,,,,No,,VGA,Yes,,,No,No,No,No,No,No,,,No,,Silver,,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,WAP 1.2.1,,,,,"400 entries, Photo call","20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,No,Vibration; Downloadable polyphonic ringtones,,,,,
bird,Bird A130,https://cdn2.gsmarena.com/vv/bigpic/bia130.gif,GSM,GSM 900 / 1800,Class 4,No,"2004, Q4",Discontinued,87 x 42 x 22 mm (3.43 x 1.65 x 0.87 in),82 g (2.89 oz),Mini-SIM,Second external mono display,"STN, 65K colors",,128 x 160 pixels,,,,No,,VGA,No,,,No,No,No,No,No,No,,,No,,Silver,,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,WAP 1.2.1,,,,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,No,Vibration; Downloadable polyphonic ringtones,,,,,
bird,Bird A120,https://cdn2.gsmarena.com/vv/bigpic/bia120.gif,GSM,GSM 900 / 1800,Class 4,No,"2004, Q4",Discontinued,87 x 43 x 21 mm (3.43 x 1.69 x 0.83 in),80 g (2.82 oz),Mini-SIM,Second external mono display,"STN, 65K colors",,128 x 160 pixels,,,,No,,CIF,No,,,No,No,No,No,No,No,,,No,,"Silver, White",,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,WAP 1.2.1,,,,,200 entries,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,No,Vibration; Downloadable polyphonic ringtones,,,,,
bird,Bird V09,https://cdn2.gsmarena.com/vv/bigpic/biv09.gif,GSM,GSM 900 / 1800,,No,"2004, Q2",Discontinued,83 x 43 x 20 mm (3.27 x 1.69 x 0.79 in),75 g (2.65 oz),Mini-SIM,Second external mono display,"CSTN, 65K colors",,128 x 160 pixels,,,,No,,,,,,No,No,No,No,No,No,,,No,,"Red, Blue Grey",,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,500 entries,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,Vibration; Downloadable polyphonic ringtones,,,,,
bird,Bird S570,https://cdn2.gsmarena.com/vv/bigpic/bis570.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2004, Q4",Discontinued,103 x 43 x 18.5 mm (4.06 x 1.69 x 0.73 in),89 g (3.14 oz),Mini-SIM,No,"STN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,No,,CIF,No,,,No,No,No,No,No,No,,,Calculator,,Silver,,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,WAP 1.2.1,,,,,"500 entries, Photo call","20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,No,Vibration; Downloadable polyphonic ringtones,,,,,
bird,Bird SC24,https://cdn2.gsmarena.com/vv/bigpic/bisc24.gif,GSM,GSM 900 / 1800,Class 6,No,"2004, Q1",Discontinued,81 x 44 x 23 mm (3.19 x 1.73 x 0.91 in),80 g (2.82 oz),Mini-SIM,Second external mono display,"CSTN, 65K colors",,128 x 160 pixels,,,,No,,,,,,No,No,No,No,No,No,,,No,,Red,,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,WAP 1.2.1,,,Yes,,200 entries,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,No,Vibration; Downloadable polyphonic ringtones,,,,,
bird,Bird G118,https://cdn2.gsmarena.com/vv/bigpic/big118.gif,GSM,GSM 900 / 1800,Class 4,No,"2004, Q4",Discontinued,82 x 43 x 22 mm (3.23 x 1.69 x 0.87 in),80 g (2.82 oz),Mini-SIM,Second external mono display,"CSTN, 65K colors",,128 x 160 pixels,,,,No,,,,,,No,No,No,No,No,No,,,No,,Red,,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,WAP 1.2.1,,,,,100 entries,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,No,Vibration; Downloadable polyphonic ringtones,,,,,
bird,Bird S1190,https://cdn2.gsmarena.com/vv/bigpic/bis1190.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,84 x 43 x 20 mm (3.31 x 1.69 x 0.79 in),85 g (3.00 oz),Mini-SIM,Screensaver,"CSTN, 4096 colors",,102 x 80 pixels,,,,No,,,,,,Yes,No,No,No,No,No,,,No,,Silver,,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,200 entries,"20 dialed, 20 received, 20 missed calls",SMS,2,No,Vibration; Polyphonic(16) ringtones,,,,,
bird,Bird S1180c,https://cdn2.gsmarena.com/vv/bigpic/bi1180c.gif,GSM,GSM 900 / 1800,No,No,"2004, Q2",Discontinued,81 x 43 x 18 mm (3.19 x 1.69 x 0.71 in),75 g (2.65 oz),Mini-SIM,Second external color display,"CSTN, 65K colors",,"128 x 96 pixels, 4:3 ratio",,,,No,,,,,,No,No,No,No,No,No,,,No,,Silver,,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,500 entries,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,Vibration; Polyphonic(16) ringtones,,,,,
bird,Bird S1160 Plus,https://cdn2.gsmarena.com/vv/bigpic/bis1160p.gif,GSM,GSM 900 / 1800,No,No,"2004, Q3",Discontinued,85 x 44 x 20 mm (3.35 x 1.73 x 0.79 in),83 g (2.93 oz),Mini-SIM,Second external mono display,"CSTN, mono",,"112 x 64 pixels, 16:9 ratio",,,,No,,,,,,No,No,No,No,No,No,,,No,,Silver,,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,200 entries,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,Vibration; Downloadable monophonic ringtones,,,,,
bird,Bird S1160,https://cdn2.gsmarena.com/vv/bigpic/bi1160.gif,GSM,GSM 900 / 1800,No,No,"2004, Q1",Discontinued,86 x 46 x 21 mm (3.39 x 1.81 x 0.83 in),85 g (3.00 oz),Mini-SIM,Second external mono display,"CSTN, mono",,112 x 80 pixels,,,,No,,,,,,No,No,No,No,No,No,,,No,,Silver,,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,200 entries,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,Vibration; Downloadable monophonic ringtones,,,,,
bird,Bird S788,https://cdn2.gsmarena.com/vv/bigpic/bis788.gif,GSM,GSM 900 / 1800,Class 10,No,"2004, Q2",Discontinued,115 x 45 x 14 mm (4.53 x 1.77 x 0.55 in),79 g (2.79 oz),Mini-SIM,No,"CSTN, 4096 colors",,112 x 80 pixels,,,,No,,,,,,No,No,No,No,No,No,,,Calculator,,"Grey, Red",,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,300 entries,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,Vibration; Polyphonic(32) ringtones,,,,,
bird,Bird S288 Plus,https://cdn2.gsmarena.com/vv/bigpic/bis288s.gif,GSM,GSM 900 / 1800,No,No,"2003, Q3",Discontinued,103 x 44 x 12 mm (4.06 x 1.73 x 0.47 in),65 g (2.29 oz),Mini-SIM,No,"CSTN, mono",,112 x 80 pixels,,,,No,,,,,,No,No,No,No,No,No,,,Calculator,,"Blue, Red, Grey",,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,300 entries,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,Vibration; Monophonic ringtones,,,,,
bird,Bird S288,https://cdn2.gsmarena.com/vv/bigpic/bis288.gif,GSM,GSM 900 / 1800,No,No,"2003, Q3",Discontinued,105 x 42 x 11 mm (4.13 x 1.65 x 0.43 in),60 g (2.12 oz),Mini-SIM,No,"CSTN, mono",,112 x 80 pixels,,,,No,,,,,,No,No,No,No,No,No,,,Calculator,,"Blue, Red, Grey",,,,,,,Removable Li-Ion battery,,,,,,,,,,,,,,,,,,,,300 entries,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,Vibration; Monophonic ringtones,,,,,
