Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
lava,Lava Fuel F1,https://cdn2.gsmarena.com/vv/bigpic/lava-fuel-f1.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2015, September","Available. Released 2015, October",141 x 72 x 9.5 mm (5.55 x 2.83 x 0.37 in),148 g (5.22 oz),"Dual SIM (Micro-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 5.1 (Lollipop),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","8 GB, 2 GB RAM","8 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",No,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",Non-removable Li-Po 4000 mAh battery,Up to 18 h (2G) / Up to 30 h 30 min (3G),"Black, White",,HSDPA 2100,,HSPA 21.1/5.76 Mbps,Mali-400MP2,"LED flash, panorama, HDR",,HDR,Up to 480 h (2G) / Up to 480 h (3G),,,,,,,Asahi Dragontrail Glass,,,0.61 W/kg (head)     0.60 W/kg (body),Up to 72 h,,,,,,,,,,,,,,,,,,
lava,Lava Iris Fuel F1 Mini,https://cdn2.gsmarena.com/vv/bigpic/lava-f1-mini.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,No,"2015, September","Available. Released 2015, September",-,-,Dual SIM,Removable Li-Ion 2000 mAh battery,TFT capacitive touchscreen,"4.0 inches, 45.5 cm2","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),,1.0 GHz,"microSD, up to 32 GB","8 GB, 512 MB RAM",5 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,2.1,No,FM radio,microUSB 2.0,Accelerometer,,Up to 19 h (3G),"Black, White",,HSDPA 2100,,HSPA,,LED flash,,,Up to 157 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lava,Lava Flair E2,https://cdn2.gsmarena.com/vv/bigpic/lava-flair-v2.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,No,"2015, September","Available. Released 2015, September",113 x 61 x 12 mm (4.45 x 2.40 x 0.47 in),-,Dual SIM,Removable Li-Ion 1400 mAh battery,TFT capacitive touchscreen,"3.5 inches, 36.5 cm2 (~52.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.4 (KitKat),,1.0 GHz,"microSD, up to 16 GB","512 MB, 256 MB RAM",2 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"2.1, EDR",No,FM radio,microUSB 2.0,Accelerometer,,,"Black, White",,HSDPA 2100,,HSPA,,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lava,Lava Pixel V2,https://cdn2.gsmarena.com/vv/bigpic/lava-pixel-v2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, September","Available. Released 2015, September",141.6 x 70.8 x 7.6 mm (5.57 x 2.79 x 0.30 in),128 g (4.52 oz),Dual SIM (Dual stand-by),Removable Li-Po 2500 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop); Android One,Mediatek MT6735 (28 nm),Quad-core 1.0 GHz Cortex-A53,"microSD, up to 32 GB","16 GB, 2 GB RAM","13 MP, AF",1080p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS","FM radio, recording","microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,Up to 24 h 40 min (2G) / Up to 10 h (3G),"Icy White, Royal Black",About 120 EUR,HSDPA 900 / 2100,LTE 1800 TD-LTE 2300,"HSPA, LTE Cat4 150/50 Mbps",Mali-T720MP2,"Dual-LED flash, HDR, panorama",,LED flash,,,,,,,,Asahi Dragontrail Glass,,,,,,,,,,,,,,,,,,,,,,
lava,Lava Iris Atom 2,https://cdn2.gsmarena.com/vv/bigpic/lava-atom-2.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,No,"2015, August","Available. Released 2015, August",134 x 66 x 9.2 mm (5.28 x 2.60 x 0.36 in),130 g (4.59 oz),Dual SIM,Removable Li-Ion 1750 mAh battery,TFT capacitive touchscreen,"4.5 inches, 55.8 cm2 (~63.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)","Android 4.4.2 (KitKat), upgradable to 5.1 (Lollipop)",,Quad-core 1.3 GHz,"microSD, up to 32 GB","8 GB, 512 MB RAM",5 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"2.1, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,Up to 15 h 50 min (3G),"Black, White",,HSDPA 2100,,HSPA,,LED flash,,,Up to 161 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lava,Lava Flair Z1,https://cdn2.gsmarena.com/vv/bigpic/lava-flair-z1.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,No,"2015, July","Available. Released 2015, July",143.5 x 72.5 x 8.9 mm (5.65 x 2.85 x 0.35 in),160 g (5.64 oz),Dual SIM,Removable Li-Po 2000 mAh battery,TFT capacitive touchscreen,"5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 5.0 (Lollipop),,Quad-core 1.3 GHz,"microSD, up to 32 GB","8 GB, 1 GB RAM",5 MP,Yes,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"2.1, EDR",No,FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 13 h 25 min (3G),"Black, White",,HSDPA 2100,,HSPA,,LED flash,,,Up to 236 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lava,Lava Pixel V1,https://cdn2.gsmarena.com/vv/bigpic/lava-pixel-v1-.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, July","Available. Released 2015, July",152.1 x 76.3 x 8.5 mm (5.99 x 3.00 x 0.33 in),135 g (4.76 oz),"Dual SIM (Micro-SIM, dual stand-by)",Removable Li-Po 2560 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow); Android One",,Quad-core 1.3 GHz,"microSD, up to 32 GB","32 GB, 2 GB RAM","8 MP, AF (13 MP via SW interpolation)",1080p@30fps,"5 MP, 8 MP via SW interpolation",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 20 h (2G) / Up to 12 h 17 min (3G),"White, Gold",About 160 EUR,HSDPA 2100,,HSPA,Mali-400MP2,"LED flash, HDR, panorama",,,,,,,,,,Asahi Dragontrail Glass,,,,,,,,,,,,,,,,,,,,,,
lava,Lava Flair P1i,https://cdn2.gsmarena.com/vv/bigpic/lava-flair-p1-.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,No,"2015, June","Available. Released 2015, June",-,-,Dual SIM,Removable Li-Ion 1400 mAh battery,TFT capacitive touchscreen,"4.0 inches, 45.5 cm2","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),,1.0 GHz,"microSD, up to 32 GB","512 MB, 256 MB RAM",2 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"2.1, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,Up to 11 h (3G),"Black, White",,HSDPA 2100,,HSPA,,LED flash,,,Up to 120 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lava,Lava Iris X1 Atom S,https://cdn2.gsmarena.com/vv/bigpic/lava-atom-s.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,No,"2015, June","Available. Released 2015, June",125.5 x 63.4 x 9.7 mm (4.94 x 2.50 x 0.38 in),112 g (3.95 oz),Dual SIM,Removable Li-Ion 1400 mAh battery,TFT capacitive touchscreen,"4.0 inches, 45.5 cm2 (~57.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),,1.0 GHz,"microSD, up to 32 GB","8 GB, 512 MB RAM",5 MP,Yes,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"2.1, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,Up to 14 h 20 min (3G),"Black, White",,HSDPA 2100,,HSPA,,LED flash,,,Up to 110 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lava,Lava Icon,https://cdn2.gsmarena.com/vv/bigpic/lava-icon.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, April","Available. Released 2015, April",143.4 x 70.6 x 7.7 mm (5.65 x 2.78 x 0.30 in),143 g (5.04 oz),"Dual SIM (Micro-SIM, dual stand-by)",Non-removable Li-Po 2500 mAh battery,IPS LCD capacitive touchscreen,"5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","16 GB, 2 GB RAM","13 MP, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB Host","Accelerometer, proximity",,Up to 20 h (2G) / Up to 9 h (3G),Black,,HSDPA 900 / 2100,,HSPA,,"Dual-LED flash, panorama, HDR",,,,,,,,,,Asahi Dragontrail Glass,,,,,,,,,,,,,,,,,,,,,,
