Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
jolla,Jolla Jolla C,https://cdn2.gsmarena.com/vv/bigpic/jolla-c.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, May","Available. Released 2016, May",142 x 72 x 9.6 mm (5.59 x 2.83 x 0.38 in),150 g (5.29 oz),"Dual SIM (Micro-SIM, dual stand-by)",Android app compatibility MP4/H.264/WMV player MP3/eAAC+/WMA/WAV/Flac player Document viewer Photo viewer,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Sailfish 2.0,Qualcomm MSM8909v2 Snapdragon 212 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","16 GB, 2 GB RAM","8 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Yes, with A-GPS, GLONASS",No,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 2500 mAh battery (7.98 Wh),,Black/Red,About 170 EUR,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800)","HSPA, LTE",Adreno 304,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jolla,Jolla Tablet,https://cdn2.gsmarena.com/vv/bigpic/jolla-tablet.jpg,No cellular connectivity,N/A,No,No,"2014, November",Cancelled,203 x 137 x 8.3 mm (7.99 x 5.39 x 0.33 in),384 g (13.55 oz),No,Android app compatibility MP4/H.264 player MP3/WAV/eAAC+ player Photo/video editor Document viewer,"IPS LCD capacitive touchscreen, 16M colors","7.85 inches, 186.2 cm2 (~67.0% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~330 ppi density)",Sailfish 2.0,Intel Atom Z3735F,Quad-core 1.8 GHz,"microSD, up to 256 GB (dedicated slot) - non microSDXC compliant","32/64 GB, 2 GB RAM","5 MP, AF",1080p@60fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band",3.0,"A-GPS, GLONASS",No,"microUSB 2.0, USB Host","Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4450 mAh battery,,Black,About 170 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jolla,Jolla Jolla,https://cdn2.gsmarena.com/vv/bigpic/jolla-jolla.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2013, May. Released 2013, November",Discontinued,131 x 68 x 9.9 mm (5.16 x 2.68 x 0.39 in),141 g (4.97 oz),Micro-SIM,Android app compatibility MP4/H.264/WMV player MP3/eAAC+/WMA/WAV/Flac player Document viewer Photo viewer,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~62.7% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)","Sailfish 1, upgradable to 2.0",Qualcomm Snapdragon 400 (28 nm),Dual-core 1.4 GHz Krait 300,"microSD, up to 32 GB (dedicated slot)","16 GB, 1 GB RAM","8 MP, AF, f/2.4",1080p@30fps,2 MP,720p,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Yes, with A-GPS, GLONASS",No,2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 2100 mAh battery (7.98 Wh),Up to 9 h (2G) / Up to 10 h (3G),"Black, Orange, Green, White",About 180 EUR,HSDPA 900 / 2100,"LTE band 3(1800), 7(2600), 20(800)","HSPA, LTE",Adreno 305,LED flash,,,Up to 500 h (2G) / Up to 500 h (3G),,,,,,,Corning Gorilla Glass 2,,Yes,0.55 W/kg (head)     1.47 W/kg (body),,,,,,,,,,,,,,,,,,,
