Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages
allview,Allview P6 Energy,https://cdn2.gsmarena.com/vv/bigpic/allview-p6-energy.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 12,Class 10,"2015, January","Available. Released 2015, January",144.5 x 71.5 x 10.3 mm (5.69 x 2.81 x 0.41 in),176.6 g (6.24 oz),"Dual SIM (Micro-SIM, dual stand-by)",DTS sound,IPS LCD capacitive touchscreen,"5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.0 (Lollipop),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, AF",1080p@30fps,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",Non-removable Li-Ion 5000 mAh battery,Up to 23 h 20 min,Black,,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,Mali-400MP2,"LED flash, HDR",,,Up to 500 h,,,,,,,Scratch-resistant glass,,,0.73 W/kg (head),,,,,,,,,,,,,,,,
allview,Allview Viper E,https://cdn2.gsmarena.com/vv/bigpic/allview-viper-e.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 12,Class 10,"2014, September","Available. Released 2014, September",131 x 65 x 7.8 mm (5.16 x 2.56 x 0.31 in),122.5 g (4.34 oz),"Dual SIM (Micro-SIM, dual stand-by)",DTS sound Yamaha amplifier,IPS LCD capacitive touchscreen,"4.5 inches, 55.8 cm2 (~65.5% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 5.0 (Lollipop),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, AF",1080p@30fps,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1800 mAh battery,Up to 9 h 15 min,"Black, White",,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,Mali-400MP2,"LED flash, HDR",,,Up to 225 h,,,,,,,Asahi Dragontrail Glass,,,0.84 W/kg (head),,,,,,,,,,,,,,,,
allview,Allview Viper L,https://cdn2.gsmarena.com/vv/bigpic/allview-viper-l.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 12,Class 10,"2015, February","Available. Released 2015, February",142 x 71.5 x 8.6 mm (5.59 x 2.81 x 0.34 in),-,"Dual SIM (Micro-SIM, dual stand-by)",Removable Li-Ion 1950 mAh battery,TFT capacitive touchscreen,"5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","8 GB, 1 GB RAM","5 MP, AF",1080p@30fps,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,Up to 8 h 30 min,"Black, White",,HSDPA 900 / 2100,,HSPA 21.1/11.5 Mbps,Mali-400MP2,"LED flash, HDR",,LED flash,Up to 195 h,,,,,,,,,,0.76 W/kg (head),,,,,,,,,,,,,,,,
allview,Allview V1 Viper i4G,https://cdn2.gsmarena.com/vv/bigpic/allview-v1-viper-i4g.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 12,Class 10,2015,Available. Released 2015,137.3 x 68.3 x 9.6 mm (5.41 x 2.69 x 0.38 in),149.9 g (5.29 oz),"Dual SIM (Micro-SIM, dual stand-by)",Removable Li-Po 1800 mAh battery,TFT capacitive touchscreen,"4.7 inches, 60.9 cm2 (~64.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~208 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","8 GB, 1 GB RAM","5 MP, AF",1080p@30fps,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,Up to 8 h 20 min,"Black, White",,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-400MP2,"LED flash, HDR",,,Up to 180 h,,,,,,,Asahi Dragontrail Glass,,,0.44 W/kg (head),,,,,,,,,,,,,,,,
allview,Allview V1 Viper S4G,https://cdn2.gsmarena.com/vv/bigpic/allview-viper-s4g.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 12,Class 10,"2014, September","Available. Released 2014, September",143 x 70.7 x 6.9 mm (5.63 x 2.78 x 0.27 in),124.7 g (4.37 oz),"Dual SIM (Micro-SIM, dual stand-by)",Removable Li-Po 1950 mAh battery,IPS LCD capacitive touchscreen,"5.0 inches, 68.9 cm2 (~68.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB","16 GB, 2 GB RAM","8 MP, AF",1080p@30fps,5 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP, EDR","Yes, with A-GPS","FM radio, RDS",microUSB 2.0,"Accelerometer, proximity",,Up to 9 h 45 min,"Black, White",,HSDPA 900 / 1900 / 2100,"LTE band 3(1800), 7(2600), 40(2300)","HSPA, LTE Cat4 150/50 Mbps",Adreno 305,"LED flash, HDR",,LED flash,Up to 195 h,,,,,,,Scratch-resistant glass,,,0.76 W/kg (head),,,,,,,,,,,,,,,,
allview,Allview X2 Soul Pro,https://cdn2.gsmarena.com/vv/bigpic/allview-x2-soul-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 10,Class 12,"2015, March","Available. Released 2015, March",148.8 x 72.4 x 5.5 mm (5.86 x 2.85 x 0.22 in),126.5 g (4.48 oz),"Dual SIM (Micro-SIM, dual stand-by)",DTS sound Active noise cancellation with dedicated mic,OLED capacitive touchscreen,"5.2 inches, 74.5 cm2 (~69.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Android 5.0 (Lollipop),Mediatek MT6752 (28 nm),Octa-core 1.7 GHz Cortex-A53,No,"16 GB, 2 GB RAM","13 MP, AF",1080p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",Non-removable Li-Po 2700 mAh battery,Up to 12 h 50 min,"White/Gold, Black",,HSDPA 900 / 1900 / 2100,"LTE band 2(1900), 3(1800), 7(2600), 8(900), 20(800), 38(2600), 40(2300)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T760MP2,"LED flash, HDR",,,Up to 270 h,,,,,,,Corning Gorilla Glass,,,0.54 W/kg (head),,,,,,,,,,,,,,,,
allview,Allview W1i,https://cdn2.gsmarena.com/vv/bigpic/allview-w1i.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 12,Class 10,"2014, June","Available. Released 2014, June",135.8 x 67.2 x 7.2 mm (5.35 x 2.65 x 0.28 in),98.9 g (3.46 oz),"Dual SIM (Micro-SIM, dual stand-by)",Non-removable Li-Po 1750 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~66.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Microsoft Windows Phone 8.1,Qualcomm MSM8212 Snapdragon 200 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, AF",720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,Up to 7 h 20 min,Black,,HSDPA 900 / 2100,,HSPA 42.2/5.76 Mbps,Adreno 302,"LED flash, panorama",,,Up to 200 h,,,,,,,Asahi Dragontrail Glass,,,0.53 W/kg (head),,,,,,,,,,,,,,,,
allview,Allview W1s,https://cdn2.gsmarena.com/vv/bigpic/allview-w1s.jpg,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 10,"2014, June","Available. Released 2014, June",144.9 x 72.1 x 8.8 mm (5.70 x 2.84 x 0.35 in),156.2 g (5.50 oz),"Dual SIM (Mini-SIM, dual stand-by)",Non-removable Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Microsoft Windows Phone 8.1,Qualcomm MSM8212 Snapdragon 200 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, AF",720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,Up to 8 h 20 min,Black,,HSDPA 900 / 2100,,HSPA 42.2/5.76 Mbps,Adreno 302,"LED flash, panorama",,,Up to 200 h,,,,,,,Asahi Dragontrail Glass,,,0.44 W/kg (head),,,,,,,,,,,,,,,,
allview,Allview X2 Xtreme,https://cdn2.gsmarena.com/vv/bigpic/allview-x2-extr.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, June","Available. Released 2015, August",164 x 82 x 9.6 mm (6.46 x 3.23 x 0.38 in),204.4 g (7.20 oz),"Dual SIM (Micro-SIM, dual stand-by)",DTS sound Active noise cancellation with dedicated mic,"AMOLED capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~73.8% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~490 ppi density)",Android 5.1 (Lollipop),Mediatek MT6795 Helio X10 (28 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB","64 GB, 3 GB RAM","24 MP, 1/2.3"", OIS, PDAF",2160p@30fps,"8 MP, AF",,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.0, A2DP, EDR","Yes, with A-GPS","FM radio, recording","microUSB 2.0, USB Host","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3500 mAh battery,Up to 12 h (3G),Gold,About 490 EUR,HSDPA 900 / 1900 / 2100,"LTE band 1(2100), 7(2600), 33(1900), 38(2600), 39(1900)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",PowerVR G6200,"Dual-LED dual-tone flash, panorama, HDR",,,Up to 350 h (3G),,,,,,,,,Yes,,,,,,,,,,,,,,,,,
allview,Allview P6 Life,https://cdn2.gsmarena.com/vv/bigpic/allview-p6-life.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,Class 12,Class 10,"2014, May","Available. Released 2014, May",145.9 x 73.2 x 8.9 mm (5.74 x 2.88 x 0.35 in),147.3 g (5.19 oz),Micro-SIM,Removable Li-Ion 1750 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","8 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,Up to 6 h (2G) / Up to 5 h (3G),Black,,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,Mali-400,"LED flash, panorama, HDR",,,Up to 175 h (2G) / Up to 175 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
