Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages
archos,Archos 50 Diamond,https://cdn2.gsmarena.com/vv/bigpic/archos-50-diamond.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, October","Available. Released 2015, January",146 x 70.4 x 8 mm (5.75 x 2.77 x 0.31 in),142 g (5.01 oz),"Dual SIM (Micro-SIM, dual stand-by)",Non-removable Li-Po 2700 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 69.2 cm2 (~67.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~440 ppi density)",Android 4.4.4 (KitKat),Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 256 GB","16 GB, 2 GB RAM","16 MP, AF",1080p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,"Black, Electric yellow",About 200 EUR,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Adreno 405,LED flash,,,,,,Photo / Video,,,Endurance rating 60h,,,Yes,0.40 W/kg (head)     0.71 W/kg (body),,,,,,,,,,,,,,,,
archos,Archos 40 Cesium,https://cdn2.gsmarena.com/vv/bigpic/archos-40-cesium.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, September","Available. Released 2014, September",-,,Dual SIM (dual stand-by),Removable Li-Ion 1700 mAh Removable Li-Po battery,"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Microsoft Windows Phone 8.1,Qualcomm Snapdragon 200 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB","4 GB, 512 MB RAM","5 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Yes, with A-GPS","FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",,,Black; Yellow and Blue (included),About 80 EUR,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,Adreno 302,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos 45c Platinum,https://cdn2.gsmarena.com/vv/bigpic/archos-45c-platinum.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, August","Available. Released 2014, September",133 x 67.5 x 8.9 mm (5.24 x 2.66 x 0.35 in),138 g (4.87 oz),Dual SIM (Mini-SIM),Removable Li-Ion 1700 mAh Removable Li-Po battery,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~62.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","4 GB, 512 MB RAM","5 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA","4.0, A2DP, EDR","Yes, with A-GPS",Stereo FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,Black; Metallic Blue and Spicy Pink (included),,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos 40c Titanium,https://cdn2.gsmarena.com/vv/bigpic/archos-40c-titanium.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, February","Available. Released 2014, April",126 x 65 x 10 mm (4.96 x 2.56 x 0.39 in),110 g (3.88 oz),Dual SIM (dual stand-by),Removable Li-Po 1450 mAh battery,LCD capacitive touchscreen,"4.0 inches, 45.5 cm2 (~55.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4 (KitKat),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB","4 GB, 512 MB RAM","5 MP, AF",720p@30fps,VGA,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity",,,Black/White,,HSDPA 900 / 2100 - SIM 1 & SIM 2,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,,,,,,,,,,,,,,,1.00 W/kg (head)     0.87 W/kg (body),,,,,,,,,,,,,,
archos,Archos 50b Platinum,https://cdn2.gsmarena.com/vv/bigpic/archos-50b-platinum.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, August","Available. Released 2014, September",146.8 x 73 x 8.3 mm (5.78 x 2.87 x 0.33 in),160 g (5.64 oz),Dual SIM (Mini-SIM),Removable Li-Ion 1900 mAh Removable Li-Po battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","4 GB, 512 MB RAM","8 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA","4.0, A2DP, EDR","Yes, with A-GPS",Stereo FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,Black,,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos 80 Helium 4G,https://cdn2.gsmarena.com/vv/bigpic/archos-80-helium-4g.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, February","Available. Released 2014, April",-,-,Mini-SIM,Removable Li-Ion 3500 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 198.2 cm2","768 x 1024 pixels, 4:3 ratio (~160 ppi density)",Android 4.3 (Jelly Bean),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","5 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA","4.0, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,Accelerometer,,,White/Silver,About 280 EUR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 305,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos 64 Xenon,https://cdn2.gsmarena.com/vv/bigpic/archos-64-xenon.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, February","Available. Released 2014, April",170.7 x 90.6 x 9.3 mm (6.72 x 3.57 x 0.37 in),232 g (8.18 oz),Dual SIM,Removable Li-Ion 2800 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 112.9 cm2 (~73.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~229 ppi density)",Android 4.2.2 (Jelly Bean),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB","4 GB, 1 GB RAM","8 MP, AF",720p,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA","3.0, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",,,Black,About 240 EUR,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos 50c Oxygen,https://cdn2.gsmarena.com/vv/bigpic/archos-50c-oxygen.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, February","Available. Released 2014, April",145 x 69.8 x 7.6 mm (5.71 x 2.75 x 0.30 in),140 g (4.94 oz),Dual SIM,Removable Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.2.2 (Jelly Bean),Mediatek MT6592 (28 nm),Octa-core 1.7 GHz Cortex-A7,"microSD, up to 32 GB","8 GB, 1 GB RAM","8 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA","4.0, A2DP, EDR","Yes, with A-GPS",Stereo FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,Black,About 240 EUR,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,Mali-450MP4,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archos,Archos 40b Titanium,https://cdn2.gsmarena.com/vv/bigpic/archos-40b-titanium.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, February","Available. Released 2014, April",125 x 61 x 8.5 mm (4.92 x 2.40 x 0.33 in),115 g (4.06 oz),Dual SIM,Removable Li-Ion 1400 mAh battery,IPS LCD capacitive touchscreen,"4.0 inches, 45.5 cm2 (~59.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.2.2 (Jelly Bean),,,"microSD, up to 32 GB","4 GB, 512 MB RAM","5 MP, AF",Yes,VGA,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA","3.0, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity",,,Black/White,About 120 EUR,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,,LED flash,,,,,,,,,,,,,,,1.00 W/kg (head)     0.87 W/kg (body),,,,,,,,,,,,,,
archos,Archos 50 Helium 4G,https://cdn2.gsmarena.com/vv/bigpic/archos-helium-4g-50.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,2014,Available. Released 2014,145 x 71.5 x 9 mm (5.71 x 2.81 x 0.35 in),160 g (5.64 oz),Micro-SIM,Removable Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.3 (Jelly Bean),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","8 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA","4.0, A2DP, EDR, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,Up to 10 h (2G) / Up to 8 h (3G),Black,About 280 EUR,HSDPA 900 / 2100  / 1800,"LTE band 1(2100), 3(1800), 7(2600), 8(900)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Adreno 305,LED flash,,,,,,,,,,,,,0.37 W/kg (head)     0.89 W/kg (body),,,,,,,,,,,,,,,,
