Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
fujitsu_siemens,Fujitsu Siemens T830,https://cdn2.gsmarena.com/vv/bigpic/fs-t810.gif,GSM / UMTS,GSM 900 / 1800 / 1900,Yes,No,"2006, August",Discontinued,126 x 64 x 21 mm (4.96 x 2.52 x 0.83 in),190 g (6.70 oz),Mini-SIM,5-way navigation key,"TFT resistive touchscreen, 65K colors","2.4 inches, 18.6 cm2 (~23.0% screen-to-body ratio)","240 x 240 pixels, 1:1 ratio (~141 ppi density)",Microsoft Windows Mobile 5.0 Phone Edition,,Intel PXA272 416 MHz,SD,"64 MB RAM, 128 MB ROM","2 MP, AF",Yes,VGA videocall camera,,Yes,No,Wi-Fi 802.11b/g,2.0,"Yes, SiRF GCS3F receiver",No,Proprietary,,SiRF GCS3F receiver Video telephony Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer Voice memo,Up to 4 h,Silver,,UMTS 2100,,"Yes, 384 kbps",,,Removable Li-Ion 1500 mAh battery,,Up to 150 h,,,,,,,,,,,,,HTML (PocketIE),QWERTY,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
fujitsu_siemens,Fujitsu Siemens T810,https://cdn2.gsmarena.com/vv/bigpic/fs-t810.gif,GSM / UMTS,GSM 900 / 1800 / 1900,Yes,No,"2006, August",Discontinued,126 x 64 x 21 mm (4.96 x 2.52 x 0.83 in),190 g (6.70 oz),Mini-SIM,5-way navigation key,"TFT resistive touchscreen, 65K colors","2.4 inches, 18.6 cm2 (~23.0% screen-to-body ratio)","240 x 240 pixels, 1:1 ratio (~141 ppi density)",Microsoft Windows Mobile 5.0 Phone Edition,,Intel PXA272 416 MHz,SD,"64 MB RAM, 128 MB ROM",Yes,,,,Yes,No,Wi-Fi 802.11b/g,2.0,"Yes, SiRF GCS3F receiver",No,Proprietary,,No,Up to 4 h,Silver,,UMTS 2100,,"Yes, 384 kbps",,,Removable Li-Ion 1500 mAh battery,,Up to 150 h,,,,,,,,,,,,,HTML (PocketIE),QWERTY,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,,
