Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard
acer,Acer Liquid M220,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m220.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, March","Available. Released 2015, May",124.9 x 64 x 9.6 mm (4.92 x 2.52 x 0.38 in),119 g (4.20 oz),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)",HSDPA 850 / 1900,TFT capacitive touchscreen,"4.0 inches, 45.5 cm2 (~57.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Microsoft Windows Phone 8.1,Qualcomm MSM8210 Snapdragon 200 (28 nm),Dual-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM - Liquid M2208 GB, 1 GB RAM - Liquid M220 Plus","5 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",HSDPA 850 / 1700(AWS),Up to 4 h,"Mystic Black, Pure White",About 80 EUR,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,Adreno 302,"LED flash, panorama",Removable Li-Ion 1300 mAh battery,,Up to 200 h,,,,,,,,,,,,,,
acer,Acer Liquid Z410,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z410.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, January","Available. Released 2015, February",136 x 66.7 x 9.9 mm (5.35 x 2.63 x 0.39 in),145 g (5.11 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",HSDPA 850 / 900 / 1900 / 2100,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~61.5% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Android 4.4.4 (KitKat),Mediatek MT6732M (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM16 GB, 2 GB RAM","5 MP, AF","Yes, dual shot",2 MP,,"Yes, dual speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","LTE band 2(1900), 4(1700/2100), 7(2600), 17(700)",,Black,About 130 EUR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800)","HSPA, LTE Cat4 150/50 Mbps",Mali-T760MP2,LED flash,Removable Li-Po 2000 mAh battery,,,,,,,,,,,,,,,,
acer,Acer Liquid Jade S,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-s-s56.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, December","Available. Released 2014, December",143 x 69 x 7.8 mm (5.63 x 2.72 x 0.31 in),116 g (4.09 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1900 / 2100 - EU,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 4.4.4 (KitKat), upgradable to 5.1 (Lollipop)",Mediatek MT6752M,Octa-core 1.5 GHz Cortex-A53,"microSD, up to 32 GB (uses SIM 2 slot)","16 GB, 2 GB RAM","13 MP, AF, f/1.8",1080p@30fps,"5 MP, f/2.2",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",LTE 800 / 1800 / 2100 / 2600 - EU,Up to 6 h (3G),"Black, White, Red, Pink",About 200 EUR,HSDPA 900 / 2100,"LTE band 3(1800), 8(900), 28(700) - Taiwan","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T760MP2,"LED flash, HDR, panorama",Non-removable Li-Ion 2300 mAh battery,,Up to 250 h (3G),Basemark OS II: 619 / Basemark OS II 2.0: 725Basemark X: 3934,,Photo / Video,Voice 60dB / Noise 56dB / Ring 60dB,,Endurance rating 43h,Corning Gorilla Glass 3,,,,,,,
acer,Acer Liquid Z500,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z5.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2014, September","Available. Released 2014, Septeber",145 x 73 x 8.8 mm (5.71 x 2.87 x 0.35 in),150 g (5.29 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",HSDPA 850 / 900 / 1900 / 2100,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","4 GB, 1 GB RAM16 GB, 2 GB RAM","8 MP, AF",1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",DTS sound Active noise cancellation with dedicated mic,,"Aquamarine Green, Sandy Silver, Titanium Black",About 150 EUR,HSDPA 900 / 2100,,HSPA,Mali-400MP2,"LED flash, HDR",Non-removable Li-Ion 2000 mAh battery,,,,,,,,,Corning Gorilla Glass 3,,,0.62 W/kg (head),,,,
acer,Acer Liquid X1,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-x1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, June","Available. Released 2014, September",153.3 x 80.4 x 8.5 mm (6.04 x 3.17 x 0.33 in),164 g (5.78 oz),Micro-SIM,Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~72.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~258 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6592 (28 nm),Octa-core 1.7 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","16 GB, 2 GB RAM","13 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 2700 mAh battery,Up to 6 h (3G),"Graphite black, Wine red",About 260 EUR,HSDPA 900 / 2100,"LTE band 3(1800), 7(2600)","HSPA, LTE",Mali-450MP4,LED flash,,,Up to 250 h (3G),,,,,,,Corning Gorilla Glass 3,,,,,,,
acer,Acer Liquid Jade,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, June","Available. Released 2014, July",140.5 x 69 x 7.5 mm (5.53 x 2.72 x 0.30 in),110 g (3.88 oz),"Hybrid Dual SIM (Micro-SIM, dual stand-by)",DTS sound,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~71.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (uses SIM 2 slot)","8 GB, 1 GB RAM - Liquid Jade16 GB, 2 GB RAM - Liquid Jade Plus","13 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Non-removable Li-Ion 2100 mAh battery,Up to 5 h (3G),"Black, White, Green, Pink, Gray",About 180 EUR,HSDPA 900 / 2100,,HSPA,Mali-400MP2,LED flash,,,Up to 330 h (3G),,,,,,,Corning Gorilla Glass 3,,,,,,,
acer,Acer Liquid E700,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e700.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,Yes,Yes,"2014, June","Available. Released 2014, August",147.3 x 73 x 9.9 mm (5.80 x 2.87 x 0.39 in),155 g (5.47 oz),Triple SIM (Micro-SIM),DTS sound,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","16 GB, 2 GB RAM or 4 GB, 1 GB RAM","8 MP, AF",1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",Non-removable Li-Ion 3500 mAh battery,Up to 24 h,"Titan Black, Burgundy Red",About 200 EUR,HSDPA 850 / 900 / 1900 / 2100,,HSPA,Mali-400MP2,LED flash,,LED flash,Up to 1440 h,,,,,,,,,,,Up to 100 h,,,
acer,Acer Liquid E600,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e600-1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, June","Available. Released 2014, September",147 x 72 x 9.5 mm (5.79 x 2.83 x 0.37 in),155 g (5.47 oz),Micro-SIM,HSDPA 850 / 900 / 1900 / 2100,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","4 GB, 1 GB RAM16 GB, 2 GB RAM","8 MP, AF",Yes,2 MP or VGA,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",LTE: 800 / 1700(AWS) 1800 / 1900 / 2100 / 2600 MHz,Up to 6 h (3G),"Black, Green, Dark red",About 200 EUR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 305,"LED flash, HDR",Non-removable Li-Ion 2500 mAh battery,,,,,,,,,,,,,,,,
acer,Acer Liquid Z200,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z200.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2014, June","Available. Released 2014, September",126 x 65 x 10.3 mm (4.96 x 2.56 x 0.41 in),130 g (4.59 oz),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)",HSDPA 850 / 900 / 1900 / 2100,TFT capacitive touchscreen,"4.0 inches, 45.5 cm2 (~55.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM",2 MP,Yes,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,No,,"Titanium Black, Essential White, Fragrant Pink, Sky Blue, Sunshine Yellow",About 90 EUR,HSDPA 900 / 2100,,HSPA,Mali-400,Panorama,Removable Li-Ion 1300 mAh battery,,,,,,,,,,,,,,,,
acer,Acer Iconia Tab 8 A1-840FHD,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-8-2014-1.jpg,No cellular connectivity,N/A,No,No,"2014, June","Available. Released 2014, September",215 x 130 x 8.5 mm (8.46 x 5.12 x 0.33 in),360 g (12.70 oz),No,HDMI port,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~66.4% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~283 ppi density)",Android 4.4.2 (KitKat),Intel Atom Z3745,Quad-core 1.86 GHz,"microSD, up to 32 GB (dedicated slot)","16/32 GB, 2 GB RAM",5 MP,Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, A2DP","Yes, GLONASS",No,microUSB 2.0,Accelerometer,Non-removable Li-Ion 4600 mAh battery,Up to 7 h 30 min (multimedia),Silver,About 200 EUR,,,,Intel Gen 7 (Ivy Bridge),,,,,,,,,,,,,,,,,,
acer,Acer Iconia Tab 7 A1-713,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-7.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 N/A,Yes,Yes,"2014, April","Available. Released 2014, August",8.9 mm thickness,298 g (10.51 oz),Mini-SIM,Non-removable Li-Ion 3400 mAh battery,TFT capacitive touchscreen,"7.0 inches, 137.9 cm2 (~64.5% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",,Quad-core,"microSD, up to 32 GB (dedicated slot)","16 GB, 1 GB RAM",2 MP,Yes,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,No,microUSB 2.0,Accelerometer,,Up to 6 h (multimedia),Black,About 110 EUR,HSDPA,,HSPA,,,,,,,,,,,,,,,,,,,
acer,Acer Iconia Tab 7 A1-713HD,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-7.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 N/A,Yes,Yes,"2014, April","Available. Released 2014, August",8.9 mm thickness,298 g (10.51 oz),Mini-SIM,Non-removable Li-Ion 3400 mAh battery,IPS LCD capacitive touchscreen,"7.0 inches, 142.1 cm2 (~66.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android 4.4.2 (KitKat),,Quad-core,"microSD, up to 32 GB (dedicated slot)","16 GB, 1 GB RAM",5 MP,Yes,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,No,microUSB 2.0,Accelerometer,,Up to 6 h (multimedia),Black,About 150 EUR,HSDPA,,HSPA,,,,,,,,,,,,,,,,,,,
acer,Acer Iconia One 7 B1-730,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-one-7.jpg,No cellular connectivity,N/A,No,No,"2014, April","Available. Released 2014, June",8.9 mm thickness,-,No,Non-removable Li-Ion 3700 mAh battery,IPS LCD capacitive touchscreen,"7.0 inches, 142.1 cm2 (~66.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)","Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",Intel Atom Z2560,Dual-core 1.6 GHz,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM",5 MP,Yes,Yes,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",No,No,microUSB 2.0,Accelerometer,,Up to 7 h (multimedia),"Red, white, black, blue, pink",About 90 EUR,,,,PowerVR SGX544MP2,,,,,,,,,,,,,,,,,,
acer,Acer Liquid E3 Duo Plus,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e3-plus.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, Q3","Available. Released 2014, Q3",138 x 69 x 8.9 mm (5.43 x 2.72 x 0.35 in),-,Dual SIM,DTS sound Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~64.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Android 4.2.2 (Jelly Bean),Mediatek MT6589 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","16 GB, 2 GB RAM","13 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity",Non-removable Li-Ion 2000 mAh battery,Up to 5 h,Black,About 240 EUR,HSDPA,,HSPA,PowerVR SGX544,LED flash,,LED flash,Up to 260 h,,,,,,,,,,,,,,
acer,Acer Liquid E3,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e3-new.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2014, February","Available. Released 2014, April",136 x 68 x 9 mm (5.35 x 2.68 x 0.35 in),134 g (4.73 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",DTS sound Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~65.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Android 4.2.2 (Jelly Bean),Mediatek MT6589 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","4 GB, 1 GB RAM","13 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity",Non-removable Li-Ion 2500 mAh battery,Up to 5 h,Black/White,About 200 EUR,HSDPA,,HSPA,PowerVR SGX544,LED flash,,LED flash,Up to 260 h,,,,,,,,,,,,,,
acer,Acer Liquid Z4,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z4.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2014, February","Available. Released 2014, April",124 x 64 x 9.7 mm (4.88 x 2.52 x 0.38 in),122 g (4.30 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",DTS sound Active noise cancellation with dedicated mic,TFT capacitive touchscreen,"4.0 inches, 45.5 cm2 (~57.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.2.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,microSD (dedicated slot),"4 GB, 512 MB RAM","5 MP, AF",720p@30fps,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",No,No,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1630 mAh battery,,Black/White,About 100 EUR,HSDPA,,HSPA,Mali-400,LED flash,,,,,,,,,,,,,,,,,
acer,Acer Iconia B1-721,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-b1-721.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, January. Released 2014, January",Discontinued,199 x 122.3 x 11.4 mm (7.83 x 4.81 x 0.45 in),323 g (11.39 oz),Yes,No,TFT capacitive touchscreen,"7.0 inches, 137.9 cm2 (~56.7% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.2 (Jelly Bean),Mediatek MT8312 (28 nm),Dual-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","16 GB, 1 GB RAM",VGA,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,Yes,No,microUSB 2.0,Accelerometer,Non-removable Li-Po 2955 mAh battery,,Black/Red,About 130 EUR,HSDPA,,HSPA,Mali-400,,,,,,,,,,,,,,,,,,
acer,Acer Iconia B1-720,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-b1-720.jpg,No cellular connectivity,N/A,No,No,"2014, January. Released 2014, January",Discontinued,198.1 x 121.9 x 10.2 mm (7.80 x 4.80 x 0.40 in),315 g (11.11 oz),No,No,TFT capacitive touchscreen,"7.0 inches, 137.9 cm2 (~57.1% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.2 (Jelly Bean),Mediatek MT8111,Dual-core 1.3 GHz,"microSD, up to 32 GB (dedicated slot)","8/16 GB, 1 GB RAM",VGA,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,No,microUSB 2.0,Accelerometer,Non-removable Li-Po 2955 mAh battery,Up to 5 h (multimedia),"Black, Gold",About 100 EUR,,,,PowerVR SGX531,,,,,,,,,,,,,,,,,,
acer,Acer Iconia A1-830,https://cdn2.gsmarena.com/vv/bigpic/Acer-Iconia-A1-830.jpg,No cellular connectivity,N/A,No,No,"2014, January","Available. Released 2014, March",203 x 138.4 x 8.2 mm (7.99 x 5.45 x 0.32 in),380 g (13.40 oz),No,Non-removable Li-Ion 4000 mAh battery,"LED-backlit IPS LCD capacitive touchscreen, 16M colors","7.9 inches, 193.3 cm2 (~68.8% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~162 ppi density)",Android 4.2 (Jelly Bean),Intel Atom Z2560,Dual-core 1.6 GHz,"microSD, up to 32 GB (dedicated slot)","16 GB, 1 GB RAM","5 MP, AF",1080p@30fps,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,3.0,Yes,No,microUSB 2.0,Accelerometer,,Up to 7 h 30 min (multimedia),White,About 130 EUR,,,,PowerVR SGX544MP2,,,,,,,,,,,,,,,,,,
acer,Acer Liquid Z5,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z5.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2014, January","Available. Released 2014, January",145.5 x 73.5 x 8.8 mm (5.73 x 2.89 x 0.35 in),150 g (5.29 oz),Dual SIM,DTS sound,"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM",5 MP,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",Non-removable Li-Ion 2000 mAh battery,,"Essential White, Gentle Grey",About 170 EUR,HSDPA 900 / 2100,,HSPA,Mali-400,LED flash,,,,,,,,,,,,,,,,,
acer,Acer Liquid S2,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-s2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2013, August. Released 2013, December",Discontinued,166 x 86.2 x 9 mm (6.54 x 3.39 x 0.35 in),229 g (8.08 oz),Nano-SIM,Dolby Digital Plus audio enhancement,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 98.7 cm2 (~69.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~368 ppi density)",Android 4.2.2 (Jelly Bean),Qualcomm MSM8974 Snapdragon 800 (28 nm),Quad-core 2.2 GHz Krait 400,"microSD, up to 64 GB (dedicated slot)","16 GB, 2 GB RAM","13 MP, AF","2160p@24fps, 1080p@60fps",2 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS","Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, gyro, proximity, compass",Non-removable Li-Po 3300 mAh battery,Up to 13 h (3G),"Black, Red",About 340 EUR,HSDPA 900 / 2100,"LTE band 3(1800), 7(2600), 20(800)","HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps",Adreno 330,Quad-LED ring flash,,,Up to 700 h (3G),,,,,,,Corning Gorilla Glass 3,,Yes,,,,,
acer,Acer Liquid Z3,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z3.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,Yes,Yes,"2013, August. Released 2013, September",Discontinued,109 x 60 x 10.4 mm (4.29 x 2.36 x 0.41 in),120 g (4.23 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",No,"TFT capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm2 (~55.8% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.0 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM",3.15 MP,Yes,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","3.0, A2DP, EDR","Yes, with A-GPS",Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1500 mAh battery,,"Rock Black, Classic White",About 100 EUR,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,Mali-400,,,,,,,,,,,,,,,,,,
acer,Acer Liquid S1,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-s1.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2013, June. Released 2013, August",Discontinued,163 x 83 x 9.6 mm (6.42 x 3.27 x 0.38 in),195 g (6.88 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",DTS sound,"TFT capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~66.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~258 ppi density)",Android 4.2 (Jelly Bean); Float UI,Mediatek MT6589 (28 nm),Quad-core 1.5 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","8 MP, AF",1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Po 2400 mAh battery,Up to 11 h,"White, Black",About 320 EUR,HSDPA 900 / 2100,,HSPA 42.2/5.76 Mbps,PowerVR SGX544,LED flash,,,Up to 450 h,,,,,,,,,,0.44 W/kg (head)     0.41 W/kg (body),,,,
