Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard
acer,Acer Liquid Z530,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September","Available. Released 2015, October",144 x 70.3 x 8.9 mm (5.67 x 2.77 x 0.35 in),145 g (5.11 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",Removable Li-Ion 2420 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,microSD (dedicated slot),"8 GB, 1 GB RAM16 GB, 2 GB RAM","8 MP, AF",Yes,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Black, White",About 150 EUR,HSDPA,LTE,"HSPA, LTE",Mali-T720MP2,"LED flash, HDR, panorama",,,,,,,,,,,,,,,,,
acer,Acer Liquid M330,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September","Available. Released 2015, November",136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),142 g (5.01 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",Removable Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~61.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Microsoft Windows 10,Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.0 GHz Cortex-A7,microSD (dedicated slot),"8 GB, 1 GB RAM","5 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Mystic Black, Pure White",,HSDPA,LTE,"HSPA, LTE",Adreno 304,LED flash,,,,,,,,,,,,,,,,,
acer,Acer Liquid M320,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September","Available. Released 2015, November",136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),142 g (5.01 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",Removable Li-Ion 2000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~61.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Microsoft Windows 10,Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,microSD (dedicated slot),"8 GB, 1 GB RAM","5 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Mystic Black, Pure White",,HSDPA,,HSPA 42.2/5.76 Mbps,Adreno 304,LED flash,,,,,,,,,,,,,,,,,
acer,Acer Iconia Tab 10 A3-A30,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a30-new.png,No cellular connectivity,N/A,No,No,"2015, April","Available. Released 2015, June",260 x 176 x 9.7 mm (10.24 x 6.93 x 0.38 in),540 g (1.19 lb),No,Dolby Digital Plus audio enhancement,"LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~64.6% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 5.0 (Lollipop),Intel Atom Z3735F,Quad-core 1.33 GHz,"microSD, up to 256 GB (dedicated slot)","16/32/64 GB, 2 GB RAM",5 MP,1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP",A-GPS only,No,microUSB 2.0,Accelerometer,Non-removable Li-Ion 5910 mAh battery (22 Wh),Up to 7 h 30 min (multimedia),Black,About 250 EUR,,,,,,,,,,,,,,,"Corning Gorilla Glass 4, oleophobic coating",,Yes,,,,,
acer,Acer Iconia One 8 B1-820,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-one-8-b1-820.jpg,No cellular connectivity,N/A,No,No,"2015, April","Available. Released 2015, May",213.9 x 127.7 x 9.5 mm (8.42 x 5.03 x 0.37 in),355 g (12.52 oz),No,Non-removable Li-Ion 4550 mAh battery (17.2 Wh),IPS LCD capacitive touchscreen,"8.0 inches, 185.6 cm2 (~67.9% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Android 5.0 (Lollipop),Intel Atom Z3735G,Quad-core 1.33 GHz,"microSD, up to 32 GB (dedicated slot)","16/32 GB, 1 GB RAM",5 MP,1080p@30fps,VGA,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP","Yes, with A-GPS, GLONASS",No,microUSB 2.0,Accelerometer,,Up to 8 h 30 min (multimedia),"Black, White",About 180 EUR,,,,,,,,,,,,,,,,,,,,,,
acer,Acer Iconia Tab A3-A20,https://cdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg,No cellular connectivity,N/A,No,No,"2014, October","Available. Released 2014, October",256.5 x 170.2 x 10.2 mm (10.10 x 6.70 x 0.40 in),508 g (1.12 lb),No,Dolby Digital Plus audio enhancement,"LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~67.8% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",Android 4.4 (KitKat),Mediatek MT8127 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)","16 GB, 1 GB RAM","5 MP, AF",720p,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",A-GPS only,No,microUSB 2.0,Accelerometer,Non-removable Li-Po 5910 mAh battery (A3-A20-K1AY),Up to 9 h (multimedia),"Black, White",About 190 EUR,,,,Mali-450MP4,,,,,,,,,,,"Corning Gorilla Glass 4, oleophobic coating",,,,,,,
acer,Acer Iconia Tab A3-A20FHD,https://cdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg,No cellular connectivity,N/A,No,No,"2014, October","Available. Released 2014, October",256.5 x 170.2 x 10.2 mm (10.10 x 6.70 x 0.40 in),508 g (1.12 lb),No,Dolby Digital Plus audio enhancement,"LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~67.8% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 4.4 (KitKat),Mediatek MT8127 (28 nm),Quad-core 1.5 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)","32 GB, 2 GB RAM","5 MP, AF",720p,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",A-GPS only,No,microUSB 2.0,Accelerometer,Non-removable Li-Po 5910 mAh battery (A3-A20FHD-K8KX),Up to 8 h (multimedia),"Black, White",About 230 EUR,,,,Mali-450MP4,,,,,,,,,,,"Corning Gorilla Glass 4, oleophobic coating",,,,,,,
acer,Acer Liquid Jade Z,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-z.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, March","Available. Released 2015, April",143.5 x 69.8 x 8 mm (5.65 x 2.75 x 0.31 in),110 g (3.88 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1900 / 2100,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.0 (Lollipop),Mediatek MT6732 (28 nm),Quad-core 1.5 GHz Cortex-A53,"microSD, up to 32 GB (uses SIM 2 slot)","8 GB, 1 GB RAM - Liquid Jade Z16 GB, 2 GB RAM - Liquid Jade Z Plus","13 MP, AF, f/1.8",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",DTS sound,Up to 7 h (2G) / Up to 4 h (3G),"Black, White",About 200 EUR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 20(800)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T760MP2,"LED flash, HDR, panorama",Non-removable Li-Po 2300 mAh battery,,Up to 410 h (2G) / Up to 400 h (3G),,,,,,,Corning Gorilla Glass 3,,,,,,,
acer,Acer Liquid Z520,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z520.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, March","Available. Released 2015, April",154 x 86 x 6.4 mm (6.06 x 3.39 x 0.25 in),118 g (4.16 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",HSDPA 850 / 900 / 1900 / 2100,TFT capacitive touchscreen,"5.0 inches, 75.7 cm2 (~57.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~187 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM16 GB, 2 GB RAM","8 MP, AF","1080p@30fps, 720p@60fps",2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",DTS sound,,"Black, White",About 130 EUR,HSDPA 900 / 2100,,HSPA,Mali-400MP2,"LED flash, HDR, panorama",Removable Li-Po 2000 mAh battery,,,,,,,,,,,,,,,,
acer,Acer Liquid Z220,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z220.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, March","Available. Released 2015, April",125.3 x 64 x 9.6 mm (4.93 x 2.52 x 0.38 in),120 g (4.23 oz),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)",HSDPA 850 / 1900,Capacitive touchscreen,"4.0 inches, 45.5 cm2 (~56.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 5.0 (Lollipop),Qualcomm Snapdragon 200 (28 nm),Dual-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","5 MP, AF",720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,HSDPA 850 / 1700(AWS),,"Black, White",About 90 EUR,HSDPA 900 / 2100,,HSPA,Adreno 302,LED flash,Removable Li-Ion 1300 mAh battery,,,,,,,,,,,,,,,,
