Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages
amoi,Amoi F320,https://cdn2.gsmarena.com/vv/bigpic/amoi-f320.gif,GSM,GSM 900 / 1800,Class 10,No,"2006, Q2",Discontinued,100.4 x 46.1 x 17.8 mm (3.95 x 1.81 x 0.70 in),76 g (2.68 oz),Mini-SIM,No,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~15.7% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,No,3 MB,VGA,No,,,No,No,No,No,No,FM radio,No,,PC Sync Voice memo Organizer Stop Watch World Time,Up to 3 h,Silver,,,,,,,Removable Li-Ion 720 mAh battery,,Up to 100 h,,,,,,,,,,,,,WAP 2.0,,,,,500 entries,"20 dialed, 20 received, 20 missed calls","SMS, MMS",Yes,No,"Vibration; Downloadable polyphonic, MP3, MIDI ringtones",,,
amoi,Amoi A310,https://cdn2.gsmarena.com/vv/bigpic/amoi-a310.gif,GSM,GSM 900 / 1800,Class 10,No,"2006, Q2",Discontinued,91.9 x 41.8 x 14.9 mm (3.62 x 1.65 x 0.59 in),62 g (2.19 oz),Mini-SIM,No,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~18.9% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,No,5 MB,,,,,No,No,No,No,No,FM radio (Optional),No,,Amoi Smart Dial PC Sync Voice memo Organizer Stop Watch World Time,Up to 4 h,Silver black,,,,,,,Removable Li-Ion 720 mAh battery,,Up to 100 h,,,,,,,,,,,,,WAP 2.0,,,,,300 entries,"20 dialed, 20 received, 20 missed calls","SMS, MMS",Yes,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,
amoi,Amoi A211,https://cdn2.gsmarena.com/vv/bigpic/amoi-a211.gif,GSM,GSM 850 / 900 / 1800 / 1900,Class 10,No,"2006, Q2",Discontinued,82 x 43 x 21.5 mm (3.23 x 1.69 x 0.85 in),84 g (2.96 oz),Mini-SIM,"Second external FSTN display, 96 x 64 pixels, 1.0 inches","CSTN, 65K colors","1.8 inches, 10.2 cm2 (~28.9% screen-to-body ratio)",128 x 160pixels (~114 ppi density),,,,No,650 KB,,,,,No,No,No,No,No,FM radio (Optional),No,,No,Up to 5 h,Black-silver,,,,,,,Removable Li-Ion 720 mAh battery,,Up to 100 h,,,,,,,,,,,,,WAP 2.0,,,,,300 entries,"20 dialed, 20 received, 20 missed calls","SMS, MMS",Yes,No,"Vibration; Downloadable polyphonic, MP3 ringtones",,,
amoi,Amoi A210,https://cdn2.gsmarena.com/vv/bigpic/amoi-a210.gif,GSM,GSM 850 / 900 / 1800 / 1900,No,No,"2006, Q2",Discontinued,80 x 43 x 20.6 mm (3.15 x 1.69 x 0.81 in),84 g (2.96 oz),Mini-SIM,Second external 1-inch FSTN display (96 x 64 pixels),"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~29.6% screen-to-body ratio)",128 x 160pixels (~114 ppi density),,,,No,,,,,,No,No,No,No,No,No,No,,No,Up to 5 h,"Silver, Grey",,,,,,,Removable Li-Ion 720 mAh battery,,Up to 100 h,,,,,,,,,,,,,No,,,,,300 entries,"20 dialed, 20 received, 20 missed calls",SMS,Yes,No,Vibration; Downloadable polyphonic ringtones,,,
amoi,Amoi 2561,https://cdn2.gsmarena.com/vv/bigpic/am2561.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,"2004, Q1",Discontinued,85 x 43 x 21 mm (3.35 x 1.69 x 0.83 in),80 g (2.82 oz),Mini-SIM,"Second external CSTN (96 x 64 pixels), 4096 colors Downloadable games, screensavers, wallpapers","TFT, 256K colors",,"132 x 176 pixels, 4:3 ratio",,,,No,,VGA,No,,,No,No,No,No,No,FM radio,Proprietary,,No,Up to 3 h,,,,,,,LED flash,Removable Li-Ion 860 mAh battery,,Up to 100 h,,,,,,,,,,,,,WAP,,,,,500,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS, Email",10 + Java downloadable,Yes,Vibration; Downloadable polyphonic ringtones,,,
amoi,Amoi CS6,https://cdn2.gsmarena.com/vv/bigpic/amcs6.gif,GSM,GSM 900 / 1800 / 1900,Yes,No,"2004, Q1",Discontinued,91.5 x 44 x 21 mm (3.60 x 1.73 x 0.83 in),80 g (2.82 oz),Mini-SIM,"Downloadable screensavers, wallpapers","CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,No,,,,,,No,No,No,No,No,No,,,No,Up to 3 h,,,,,,,,Removable Li-Ion 860 mAh battery,,Up to 100 h,,,,,,,,,,,,,WAP,,,,,500,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",6 + Java downloadable,Yes,Vibration; Downloadable polyphonic ringtones,,,
amoi,Amoi 2560,https://cdn2.gsmarena.com/vv/bigpic/am2560.gif,GSM,GSM 900 / 1800 / 1900,Yes,No,2003,Discontinued,88 x 44 x 21 mm (3.46 x 1.73 x 0.83 in),80 g (2.82 oz),Mini-SIM,"Swivel and rotate 180 deg Downloadable screensavers, wallpapers","TFT, 65K colors",,128 x 160 pixels,,,,No,,VGA,No,,,No,No,No,No,No,No,,,No,Up to 3 h,,,,,,,LED flash,Removable Li-Ion 860 mAh battery,,Up to 100 h,,,,,,,,,,,,,WAP,,,,,500,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS, Email",10 + downloadable,No,Vibration; Polyphonic(40) ringtones,,,
amoi,Amoi A90,https://cdn2.gsmarena.com/vv/bigpic/ama90.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,2004,Discontinued,86 x 44 x 21 mm (3.39 x 1.73 x 0.83 in),83 g (2.93 oz),Mini-SIM,Second external mono OLED display (80 x 48 pixels),"Color graphics, 4K colors",,128 x 160 pixels,,,,No,,,,,,No,No,No,No,No,No,,,No,Up to 3 h,,,,,,,,Removable Li-Ion 550 mAh battery,,Up to 90 h,,,,,,,,,,,,,WAP 1.2.1,,,,,500 x 8 fields,"10 dialed, 10 received, 10 missed calls","SMS, MMS, Email",5 + downloadable,No,Vibration; Downloadable polyphonic ringtones,,,
amoi,Amoi F99b,https://cdn2.gsmarena.com/vv/bigpic/amf99b.gif,GSM,GSM 900 / 1800 / 1900,Yes,No,2003,Discontinued,86 x 49 x 24 mm (3.39 x 1.93 x 0.94 in),80 g (2.82 oz),Mini-SIM,Second external mono (32 x 63 pixels),"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,No,,,,,,No,No,No,No,No,No,,,No,Up to 3 h,,,,,,,,Removable Li-Ion 860 mAh battery,,Up to 100 h,,,,,,,,,,,,,WAP,,,,,500,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS, Email",5,No,Vibration; Polyphonic(40) ringtones,,,
amoi,Amoi A9B,https://cdn2.gsmarena.com/vv/bigpic/ama9b.gif,GSM,GSM 900 / 1800 / 1900,Yes,No,2003,Discontinued,86 x 44 x 21 mm (3.39 x 1.73 x 0.83 in),80 g (2.82 oz),Mini-SIM,"Second external OLED (80 x 48 pixels) Screensavers, wallpapers","CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,No,,,,,,No,No,No,No,No,No,,,No,Up to 3 h,,,,,,,,Removable Li-Ion 860 mAh battery,,Up to 100 h,,,,,,,,,,,,,WAP,,,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",5 + downloadable,No,Vibration; Polyphonic(40) ringtones,,,
amoi,Amoi CA8,https://cdn2.gsmarena.com/vv/bigpic/amca8.gif,GSM,GSM 900 / 1800 / 1900,Yes,No,2003,Discontinued,85.8 x 49 x 24.6 mm (3.38 x 1.93 x 0.97 in),80 g (2.82 oz),Mini-SIM,Second external OLED (96 x 64 pixels),"CSTN, 65K colors",,128 x 160 pixels,,,,No,,,,,,No,No,No,No,No,No,,,No,Up to 3 h,,,,,,,,Removable Li-Ion 860 mAh battery,,Up to 100 h,,,,,,,,,,,,,WAP,,,,,500,"10 dialed, 10 received, 10 missed calls","SMS, MMS",5 + Java downloadable,Yes,Vibration; Polyphonic(40) ringtones,,,
amoi,Amoi CA6,https://cdn2.gsmarena.com/vv/bigpic/amca6.gif,GSM,GSM 900 / 1800 / 1900,Yes,No,2003,Discontinued,85.8 x 49 x 24.6 mm (3.38 x 1.93 x 0.97 in),80 g (2.82 oz),Mini-SIM,Second external OLED (96 x 64 pixels),"CSTN, 65K colors",,128 x 160 pixels,,,,No,,,,,,No,No,No,No,No,No,,,No,Up to 3 h,,,,,,,,Removable Li-Ion 860 mAh battery,,Up to 100 h,,,,,,,,,,,,,WAP,,,,,500,"10 dialed, 10 received, 10 missed calls","SMS, MMS",5 + downloadable,No,Vibration; Polyphonic(40) ringtones,,,
amoi,Amoi A90B,https://cdn2.gsmarena.com/vv/bigpic/ama90b.gif,GSM,GSM 900 / 1800 / 1900,Yes,No,2003,Discontinued,86 x 44 x 20 mm (3.39 x 1.73 x 0.79 in),80 g (2.82 oz),Mini-SIM,Second external OLED (80 x 48 pixels),"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,No,,,,,,No,No,No,No,No,No,,,No,Up to 3 h,,,,,,,,Removable Li-Ion 860 mAh battery,,Up to 100 h,,,,,,,,,,,,,WAP,,,,,500,"10 dialed, 10 received, 10 missed calls",SMS,5 + downloadable,No,Vibration; Polyphonic(40) ringtones,,,
amoi,Amoi S6,https://cdn2.gsmarena.com/vv/bigpic/ams6.gif,GSM,GSM 900 / 1800 / 1900,Class 10,No,2003,Discontinued,91.5 x 44 x 21 mm (3.60 x 1.73 x 0.83 in),80 g (2.82 oz),Mini-SIM,Blue backlight,"OLED, Grayscale (16 shades)",,"128 x 128 pixels, 1:1 ratio",,,,No,,,,,,No,No,No,No,No,No,,,No,Up to 3 h,,,,,,,,Removable Li-Ion 860 mAh battery,,Up to 100 h,,,,,,,,,,,,,WAP 1.2.1,,,,,200 x 8 fields,"10 dialed, 10 received, 10 missed calls","SMS, Email",6,No,Vibration; Polyphonic(40) ringtones,,,
