Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
inq,iNQ Cloud Touch,https://cdn2.gsmarena.com/vv/bigpic/inq-cloud-touch.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2011, February. Released 2011, April",Discontinued,114 x 62 x 13 mm (4.49 x 2.44 x 0.51 in),122 g (4.30 oz),Mini-SIM,No,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~51.6% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 2.2 (Froyo),Qualcomm MSM7227 Snapdragon S1,600 MHz ARM 11,"microSD, up to 32 GB (dedicated slot), 4 GB included",512 MB,"5 MP, AF",Yes,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR","Yes, with A-GPS",Stereo FM radio,microUSB 2.0,"Accelerometer, proximity, compass",MP3/WAV/eAAC+ player MP4/H.264 player Organizer Voice memo Predictive text input,Up to 6 h 30 min (3G),"Black, White, Red",About 380 EUR,HSDPA 900 / 1900 / 2100,,HSPA 7.2/5.76 Mbps,Adreno 200,,Removable Li-Ion 1300 mAh battery,,Up to 245 h (3G),,,,,,,,,,,,,WAP2.0 / xHTML,,,,,,,,,,,,,,,,
inq,iNQ Cloud Q,https://cdn2.gsmarena.com/vv/bigpic/inq-cloud-q.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2011, February",Cancelled,-,-,Mini-SIM,No,"TFT resistive touchscreen, 256K colors","2.6 inches, 19.2 cm2","400 x 240 pixels, 5:3 ratio (~179 ppi density)",Android 2.2 (Froyo),Qualcomm MSM7227 Snapdragon S1,600 MHz ARM 11,"microSD, up to 8 GB (dedicated slot), 4 GB included",4 MB,"5 MP, AF",Yes,,,Yes,Yes,Wi-Fi 802.11 b/g,"2.1, A2DP","Yes, with A-GPS",No,microUSB 2.0,Accelerometer,MP3/WAV/eAAC+ player MP4/H.264 player Organizer Voice memo Predictive text input,Up to 4 h,"Black, White, Red",,HSDPA 900 / 1900 / 2100,,HSPA,Adreno 200,,Removable Li-Ion 1300 mAh battery,,Up to 200 h,,,,,,,,,,,,,WAP2.0 / xHTML,QWERTY,,,,,,,,,,,,,,,
inq,iNQ Chat 3G,https://cdn2.gsmarena.com/vv/bigpic/inq-chat-3g.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,Class 10,Class 10,"2009, October. Released 2009, December",Discontinued,114.5 x 61 x 12.8 mm (4.51 x 2.40 x 0.50 in),122 g (4.30 oz),Mini-SIM,Home screen widgets,"TFT, 256K colors",", -","320 x 240 pixels, 4:3 ratio",,,,"microSD, up to 4 GB (dedicated slot)",100 MB,"3.15 MP, AF",Yes,,,Yes,No,No,"2.0, A2DP",Yes,No,miniUSB 2.0,,No,-,"Black, Red",About 110 EUR,HSDPA 2100,,HSPA 3.6/0.384 Mbps,,,Removable Li-Ion 1150 mAh battery,,-,,,,,,,,,,,,,WAP2.0 / xHTML,QWERTY,,,,"1000 entries, Photocall","30 received, dialed and missed calls","SMS, MMS, Email, IM, Push GMail",Yes,"Yes, MIDP 2.0",,,,,,,
inq,iNQ Mini 3G,https://cdn2.gsmarena.com/vv/bigpic/inq-mini-3g.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,Class 10,Class 10,"2009, September. Released 2009, September",Discontinued,102.9 x 45.8 x 12.8 mm (4.05 x 1.80 x 0.50 in),90 g (3.17 oz),Mini-SIM,No,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~31.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,"microSD, up to 4 GB (dedicated slot)",50 MB,2 MP,Yes,,,Yes,No,No,"2.0, A2DP",No,No,miniUSB 2.0,,"Facebook, Skype, Twitter applications and integration MP3/WAV/eAAC+ player MP4/H.264 player Organizer Voice memo Predictive text input",Up to 3 h 30 min,"Black, Red",,HSDPA 2100,,HSPA 3.6/0.384 Mbps,,,Removable Li-Ion 1150 mAh battery,,Up to 260 h,,,,,,,,,,,,,WAP2.0 / xHTML,,,,,"1000 entries, Photocall","30 received, dialed and missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,,,,,,
inq,iNQ iNQ1,https://cdn2.gsmarena.com/vv/bigpic/inq1.jpg,GSM / HSPA,GSM 900 / 1800 / 1900,Class 10,Class 10,"2009, February. Released 2009, May",Discontinued,97 x 47.6 x 14.4 mm (3.82 x 1.87 x 0.57 in),110 g (3.88 oz),Mini-SIM,No,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~32.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,"microSD, up to 4 GB (dedicated slot)",50 MB,3.15 MP,Yes,,,Yes,No,No,"2.0, A2DP",No,No,miniUSB 2.0,,"Facebook, Skype, Twitter applications and integration MP3/WAV/eAAC+ player MP4/H.264 player Organizer Voice memo Predictive text input",Up to 5 h 20 min,Gray,,HSDPA 2100,,HSPA 3.6/0.384 Mbps,,,Removable Li-Ion 1150 mAh battery,,Up to 330 h,,,,,,,,,,,,,WAP2.0 / xHTML,,,,,"1000 entries, Photocall","30 received, dialed and missed calls","SMS, MMS, Email, IM",Yes,"Yes, MIDP 2.0",,,,,,,
