Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1,Quad
karbonn,Karbonn A34,https://cdn2.gsmarena.com/vv/bigpic/karbonn-a34.jpg,GSM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2013. Released 2013,Discontinued,197 x 124 x 12.3 mm (7.76 x 4.88 x 0.48 in),335 g (11.82 oz),Dual SIM,Li-Ion 3000 mAh battery,TFT capacitive touchscreen,"7.0 inches, 139.5 cm2 (~57.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~133 ppi density)",Android 4.0 (Ice Cream Sandwich),Mediatek MT6515,1.0 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM",2 MP,Yes,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",FM radio,Proprietary,Accelerometer,,Up to 8 h,Gray/White,About 90 EUR,,,,PowerVR SGX531,,,,Up to 240 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A25,https://cdn2.gsmarena.com/vv/bigpic/karbonn-a25.jpg,GSM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2013. Released 2013,Discontinued,146 x 78.6 x 10.5 mm (5.75 x 3.09 x 0.41 in),150 g (5.29 oz),Dual SIM,Li-Ion 2000 mAh battery,Capacitive touchscreen,"5.0 inches, 71.2 cm2 (~62.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~187 ppi density)",Android 4.0 (Ice Cream Sandwich),,Dual-core 1.0 GHz,"microSD, up to 32 GB (dedicated slot)",114 MB,5 MP,Yes,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,No,FM radio,Proprietary,"Accelerometer, proximity",,Up to 6 h,White/Black,About 80 EUR,,,,,LED flash,,,Up to 300 h,,,,,,,,,,0.50 W/kg (head),,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A7 Star,https://cdn2.gsmarena.com/vv/bigpic/karbonn-a7.jpg,GSM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2013. Released 2013,Discontinued,113 x 66 x 10.4 mm (4.45 x 2.60 x 0.41 in),-,Dual SIM,Removable Li-Ion 1400 mAh battery,Capacitive touchscreen,"4.5 inches, 55.8 cm2 (~74.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 4.0 (Ice Cream Sandwich),Mediatek MT6517,Dual-core 1.0 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",164 MB,5 MP,Yes,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,No,FM radio,Proprietary,"Accelerometer, proximity",,Up to 5 h,White/Black,About 70 EUR,,,,PowerVR SGX531u,LED flash,,,Up to 135 h,,,,,,,,,,0.99 W/kg (head),,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A4+,https://cdn2.gsmarena.com/vv/bigpic/karbonn-a4plus.jpg,GSM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2013. Released 2013,Discontinued,123 x 63 x 10.5 mm (4.84 x 2.48 x 0.41 in),87.5 g without battery (3.07 oz),Dual SIM,No,IPS LCD capacitive touchscreen,"4.0 inches, 45.5 cm2 (~58.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.0 (Ice Cream Sandwich),,Dual-core 1.0 GHz,"microSD, up to 32 GB (dedicated slot)",90 MB,3.15 MP,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,No,FM radio,Proprietary,"Accelerometer, proximity",Li-Ion 1250 mAh battery,Up to 5 h,White/Black,About 50 EUR,,,,,,,,Up to 125 h,,,,,,,,,,0.94 W/kg (head),,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A2+,https://cdn2.gsmarena.com/vv/bigpic/karbonn-a2plus.jpg,GSM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,2013. Released 2013,Discontinued,124 x 63.6 x 12.4 mm (4.88 x 2.50 x 0.49 in),110 g (3.88 oz),Dual SIM,Li-Ion 1750 mAh battery,Capacitive touchscreen,"4.0 inches, 45.5 cm2 (~57.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.0 (Ice Cream Sandwich),,,"microSD, up to 32 GB (dedicated slot)",180 MB,3.15 MP,Yes,Yes,,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,No,FM radio,Proprietary,"Accelerometer, proximity",,Up to 3 h 30 min,White/Black,About 50 EUR,,,,,,,,Up to 120 h,,,,,,,,,,0.63 W/kg (head),,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A27 Retina,https://cdn2.gsmarena.com/vv/bigpic/karbonn-a27-retina.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2013, March. Released 2013, March",Discontinued,133.6 x 66 x 9.1 mm (5.26 x 2.60 x 0.36 in),126.5 g (4.44 oz),Dual SIM (Mini-SIM),Li-Ion 1800 mAh battery,IPS LCD capacitive touchscreen,"4.3 inches, 51.0 cm2 (~57.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",Android 4.1 (Jelly Bean),,Dual-core 1.2 GHz,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM","8 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Yes,"Yes, with A-GPS",FM radio,Proprietary,Accelerometer,,Up to 4 h,Black,About 160 EUR,HSDPA 2100,,HSPA 7.2/0.384 Mbps,,LED flash,,,Up to 180 h,,,,,,,,,,1.00 W/kg (head),,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A111,https://cdn2.gsmarena.com/vv/bigpic/karbonn-a111.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2013, March. Released 2013, March",Discontinued,148 x 80 x 12 mm (5.83 x 3.15 x 0.47 in),-,Dual SIM (Mini-SIM),Li-Ion 2150 mAh battery,TFT capacitive touchscreen,"5.0 inches, 71.2 cm2 (~60.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~187 ppi density)",Android 4.0 (Ice Cream Sandwich),,Dual-core 1.2 GHz,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM","5 MP, AF",Yes,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",FM radio,Proprietary,Accelerometer,,,White/Black,About 150 EUR,HSDPA 900 / 2100,,HSPA,,LED flash,,,,,,,,,,,,,0.87 W/kg (head),,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A6,https://cdn2.gsmarena.com/vv/bigpic/karbonn-a6.jpg,GSM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2013, March. Released 2013, March",Discontinued,128 x 65.7 x 11.6 mm (5.04 x 2.59 x 0.46 in),114.5 g (4.02 oz),Dual SIM (Mini-SIM),Removable Li-Ion 1450 mAh battery,"IPS LCD capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~54.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.0 (Ice Cream Sandwich),,1.0 GHz,"microSD, up to 32 GB (dedicated slot)","104 MB, 512 MB RAM",5 MP,Yes,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,No,FM radio,Proprietary,Accelerometer,,Up to 3 h 30 min,White/Black,About 80 EUR,,,,,LED flash,,,Up to 250 h,,,,,,,,,,0.87 W/kg (head),,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A4,https://cdn2.gsmarena.com/vv/bigpic/karbonn-a4.jpg,GSM / HSPA,GSM 850 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2013, March. Released 2013, March",Discontinued,124.8 x 66 x 9.5 mm (4.91 x 2.60 x 0.37 in),75 g (2.65 oz),Dual SIM (Mini-SIM),GSM 900 / 1800 - SIM 1 & SIM 2,"TFT capacitive touchscreen, 256K colors","4.0 inches, 47.6 cm2 (~57.8% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~144 ppi density)",Android 2.3.6 (Gingerbread),,,"microSD, up to 32 GB (dedicated slot)","256 MB, 512 MB",3.15 MP,Yes,Yes,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,No,FM radio,Proprietary,Accelerometer,HSDPA 850 / 1900,Up to 4 h 20 min,White/Black,About 70 EUR,HSDPA 900 / 2100,,HSPA,,,Li-Ion 1400 mAh battery,,Up to 250 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karbonn,Karbonn A3,https://cdn2.gsmarena.com/vv/bigpic/karbonn-a3.jpg,GSM,GSM 850 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2013, March. Released 2013, March",Discontinued,113 x 61 x 13.5 mm (4.45 x 2.40 x 0.53 in),90 g (3.17 oz),Dual SIM (Mini-SIM),GSM 900 / 1800 - SIM 1 & SIM 2,"TFT capacitive touchscreen, 16M colors","4.0 inches, 47.6 cm2 (~69.1% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~144 ppi density)",Android 2.3.6 (Gingerbread),,1.0 GHz,"microSD, up to 32 GB (dedicated slot)","256 MB RAM, 512 MB",3.15 MP,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,No,FM radio,Proprietary,Accelerometer,Li-Ion 1400 mAh battery,Up to 4 h 20 min,White/Black,About 70 EUR,,,,,,,,Up to 250 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
